location;new_cases_per_million;new_deaths_per_million;reproduction_rate;new_tests_per_thousand;positive_rate
Argentina;;;;0;
Argentina;;;;0.001;
Argentina;;;;0;
Argentina;;;;0;
Argentina;;;;0;
Argentina;;;;0.001;
Argentina;;;;0.001;
Argentina;;;;0;
Argentina;;;;0;
Argentina;;;;0.002;
Argentina;;;;;
Argentina;;;;0.001;
Argentina;;;;;
Argentina;;;;;
Argentina;;;;;
Argentina;;;;0;
Argentina;;;;0;
Argentina;;;;;
Argentina;;;;0.001;
Argentina;;;;0;
Argentina;;;;0;
Argentina;;;;0;
Argentina;;;;;
Argentina;;;;;
Argentina;;;;;
Argentina;;;;;
Argentina;;;;;
Argentina;;;;0;
Argentina;;;;0;
Argentina;;;;0;
Argentina;;;;0;
Argentina;;;;;
Argentina;;;;0;
Argentina;;;;0;
Argentina;;;;0;
Argentina;;;;;
Argentina;;;;;
Argentina;;;;0;
Argentina;;;;;
Argentina;;;;;
Argentina;;;;0;
Argentina;;;;0;
Argentina;;;;0;
Argentina;;;;;
Argentina;;;;;
Argentina;;;;;
Argentina;;;;;
Argentina;;;;;
Argentina;;;;;
Argentina;;;;;
Argentina;;;;0;
Argentina;;;;;
Argentina;;;;;
Argentina;;;;;
Argentina;;;;;
Argentina;;;;0;
Argentina;;;;;
Argentina;;;;0;
Argentina;;;;0;
Argentina;;;;;
Argentina;;;;;
Argentina;;;;0;
Argentina;0.022;;;0;
Argentina;0;;;0;
Argentina;0;;;0;
Argentina;0.022;;;0;
Argentina;0.133;;;0;
Argentina;0.089;0.022;;0.001;0.19
Argentina;0;0;;0;0.156
Argentina;0.111;0;;0.001;0.152
Argentina;0.044;0;;0.001;0.135
Argentina;0;0;;0.001;0.107
Argentina;0.266;0.022;;0.002;0.122
Argentina;0.066;0;;0.001;0.091
Argentina;0.243;0;;0.002;0.098
Argentina;0.243;0;;0.002;0.103
Argentina;0.266;0;;0.003;0.1
Argentina;0.243;0;;0.004;0.089
Argentina;0.398;0.022;;0.003;0.101
Argentina;0.686;0;;0.005;0.108
Argentina;0.664;0.022;1.84;0.007;0.109
Argentina;2.39;0;1.84;0.005;0.173
Argentina;0.774;0;1.81;0.006;0.169
Argentina;1.903;0.044;1.78;0.009;0.187
Argentina;0;0.044;1.75;0.01;0.157
Argentina;2.544;0.022;1.73;0.011;0.176
Argentina;1.925;0.089;1.7;0.008;0.188
Argentina;2.235;0.111;1.67;0.009;0.208
Argentina;1.217;0.022;1.63;0.014;0.162
Argentina;1.659;0.089;1.61;0.012;0.161
Argentina;5.177;0.089;1.58;0.013;0.194
Argentina;0;0.022;1.53;0.021;0.17
Argentina;1.748;0.177;1.5;0.029;0.134
Argentina;2.921;0.066;1.48;0.028;0.121
Argentina;4.115;0.089;1.45;0.024;0.121
Argentina;0;0.022;1.41;0.018;0.109
Argentina;2.279;0.089;1.38;0.024;0.104
Argentina;1.637;0.177;1.36;0.03;0.073
Argentina;1.925;0.155;1.34;0.034;0.078
Argentina;1.77;0.199;1.33;0.032;0.077
Argentina;3.983;0.221;1.32;0.027;0.083
Argentina;0;0.022;1.3;0.03;0.059
Argentina;3.695;0.155;1.3;0.024;0.076
Argentina;1.46;0.155;1.28;0.031;0.07
Argentina;1.527;0.111;1.28;0.037;0.067
Argentina;3.673;0.199;1.27;0.037;0.074
Argentina;2.832;0.089;1.26;0.038;0.077
Argentina;2.168;0.177;1.25;0.038;0.065
Argentina;1.969;0.133;1.25;0.036;0.072
Argentina;1.792;0.066;1.25;0.026;0.063
Argentina;2.257;0.089;1.25;0.04;0.064
Argentina;1.991;0.243;1.25;0.05;0.063
Argentina;2.5;0.111;1.26;0.044;0.057
Argentina;6.439;0.288;1.27;0.048;0.068
Argentina;3.806;0.243;1.26;0.054;0.069
Argentina;3.828;0.199;1.25;0.045;0.073
Argentina;2.478;0.155;1.23;0.031;0.074
Argentina;2.456;0.111;1.23;0.039;0.075
Argentina;2.744;0.221;1.22;0.047;0.078
Argentina;3.496;0.155;1.22;0.052;0.08
Argentina;3.164;0.089;1.22;0.048;0.069
Argentina;2.301;0.155;1.22;0.054;0.064
Argentina;3.297;0.266;1.23;0.042;0.064
Argentina;2.257;0.199;1.23;0.041;0.061
Argentina;2.301;0.31;1.24;0.053;0.058
Argentina;2.943;0.089;1.26;0.073;0.054
Argentina;4.16;0.199;1.28;0.069;0.054
Argentina;3.607;0.199;1.29;0.071;0.052
Argentina;5.31;0.243;1.31;0.067;0.058
Argentina;3.651;0.155;1.32;0.067;0.055
Argentina;5.708;0.111;1.33;0.042;0.063
Argentina;5.399;0.199;1.34;0.064;0.068
Argentina;6.306;0.111;1.35;0.068;0.076
Argentina;6.992;0.221;1.36;0.082;0.08
Argentina;5.642;0.531;1.36;0.078;0.084
Argentina;7.633;0.066;1.37;0.082;0.086
Argentina;7.213;0.155;1.38;0.072;0.092
Argentina;5.819;0.221;1.38;0.052;0.091
Argentina;6.704;0.199;1.39;0.077;0.091
Argentina;9.691;0.243;1.4;0.106;0.091
Argentina;10.488;0.221;1.41;0.109;0.092
Argentina;14.338;0.288;1.41;0.112;0.102
Argentina;15.886;0.376;1.41;0.107;0.11
Argentina;15.577;0.266;1.4;0.088;0.12
Argentina;15.997;0.155;1.39;0.073;0.132
Argentina;12.214;0.332;1.38;0.081;0.139
Argentina;13.276;0.376;1.37;0.091;0.148
Argentina;15.599;0.354;1.36;0.106;0.156
Argentina;17.015;0.177;1.35;0.109;0.161
Argentina;15.864;0.266;1.34;0.123;0.157
