location;total_cases_per_million;new_cases_per_million;new_cases_smoothed_per_million;new_deaths_per_million;reproduction_rate;new_tests_per_thousand;positive_rate
Argentina;;;;;;0.0;
Argentina;;;;;;0.001;
Argentina;;;;;;0.0;
Argentina;;;;;;0.0;
Argentina;;;;;;0.0;
Argentina;;;;;;0.001;
Argentina;;;;;;0.001;
Argentina;;;;;;0.0;
Argentina;;;;;;0.0;
Argentina;;;;;;0.002;
Argentina;;;;;;;
Argentina;;;;;;0.001;
Argentina;;;;;;;
Argentina;;;;;;;
Argentina;;;;;;;
Argentina;;;;;;0.0;
Argentina;;;;;;0.0;
Argentina;;;;;;;
Argentina;;;;;;0.001;
Argentina;;;;;;0.0;
Argentina;;;;;;0.0;
Argentina;;;;;;0.0;
Argentina;;;;;;;
Argentina;;;;;;;
Argentina;;;;;;;
Argentina;;;;;;;
Argentina;;;;;;;
Argentina;;;;;;0.0;
Argentina;;;;;;0.0;
Argentina;;;;;;0.0;
Argentina;;;;;;0.0;
Argentina;;;;;;;
Argentina;;;;;;0.0;
Argentina;;;;;;0.0;
Argentina;;;;;;0.0;
Argentina;;;;;;;
Argentina;;;;;;;
Argentina;;;;;;0.0;
Argentina;;;;;;;
Argentina;;;;;;;
Argentina;;;;;;0.0;
Argentina;;;;;;0.0;
Argentina;;;;;;0.0;
Argentina;;;;;;;
Argentina;;;;;;;
Argentina;;;;;;;
Argentina;;;;;;;
Argentina;;;;;;;
Argentina;;;;;;;
Argentina;;;;;;;
Argentina;;;;;;0.0;
Argentina;;;;;;;
Argentina;;;;;;;
Argentina;;;;;;;
Argentina;;;;;;;
Argentina;;;;;;0.0;
Argentina;;;;;;;
Argentina;;;;;;0.0;
Argentina;;;;;;0.0;
Argentina;;;;;;;
Argentina;;;;;;;
Argentina;;;;;;0.0;
Argentina;0.022;0.022;;;;0.0;
Argentina;0.022;0.0;;;;0.0;
Argentina;0.022;0.0;;;;0.0;
Argentina;0.044;0.022;;;;0.0;
Argentina;0.177;0.133;;;;0.0;
Argentina;0.266;0.089;0.038;0.022;;0.001;0.19
Argentina;0.266;0.0;0.038;0.0;;0.0;0.156
Argentina;0.376;0.111;0.051;0.0;;0.001;0.152
Argentina;0.42;0.044;0.057;0.0;;0.001;0.135
Argentina;0.42;0.0;0.057;0.0;;0.001;0.107
Argentina;0.686;0.266;0.092;0.022;;0.002;0.122
Argentina;0.752;0.066;0.082;0.0;;0.001;0.091
Argentina;0.996;0.243;0.104;0.0;;0.002;0.098
Argentina;1,239;0.243;0.139;0.0;;0.002;0.103
Argentina;1,505;0.266;0.161;0.0;;0.003;0.1
Argentina;1,748;0.243;0.19;0.0;;0.004;0.089
Argentina;2,146;0.398;0.247;0.022;;0.003;0.101
Argentina;2,832;0.686;0.307;0.0;;0.005;0.108
Argentina;3,496;0.664;0.392;0.022;1.84;0.007;0.109
Argentina;5,886;2.39;0.699;0.0;1.84;0.005;0.173
Argentina;6.66;0.774;0.774;0.0;1.81;0.006;0.169
Argentina;8,563;1,903;1,008;0.044;1.78;0.009;0.187
Argentina;8,563;0.0;0.974;0.044;1.75;0.01;0.157
Argentina;11,107;2,544;1.28;0.022;1.73;0.011;0.176
Argentina;13,032;1,925;1,457;0.089;1.7;0.008;0.188
Argentina;15,267;2,235;1,682;0.111;1.67;0.009;0.208
Argentina;16,484;1,217;1,514;0.022;1.63;0.014;0.162
Argentina;18,143;1,659;1.64;0.089;1.61;0.012;0.161
Argentina;23,321;5,177;2,108;0.089;1.58;0.013;0.194
Argentina;23,321;0.0;2,108;0.022;1.53;0.021;0.17
Argentina;25,069;1,748;1,994;0.177;1.5;0.029;0.134
Argentina;27,989;2,921;2,137;0.066;1.48;0.028;0.121
Argentina;32,105;4,115;2,405;0.089;1.45;0.024;0.121
Argentina;32,105;0.0;2,232;0.022;1.41;0.018;0.109
Argentina;34,384;2,279;2.32;0.089;1.38;0.024;0.104
Argentina;36,021;1,637;1,814;0.177;1.36;0.03;0.073
Argentina;37,946;1,925;2,089;0.155;1.34;0.034;0.078
Argentina;39,716;1.77;2,092;0.199;1.33;0.032;0.077
Argentina;43,699;3,983;2,244;0.221;1.32;0.027;0.083
Argentina;43,699;0.0;1,656;0.022;1.3;0.03;0.059
Argentina;47,394;3,695;2,184;0.155;1.3;0.024;0.076
Argentina;48,854;1.46;2,067;0.155;1.28;0.031;0.07
Argentina;50,381;1,527;2,051;0.111;1.28;0.037;0.067
Argentina;54,054;3,673;2,301;0.199;1.27;0.037;0.074
