WKT,Oficina,Distrito,SubZona,Ubigeo,Clientes
"(-76.799565 -12.10138704 0,-76.80040704 -12.10209696 0,-76.80056616 -12.10216896 0,-76.80092004 -12.10215699 0,-76.80138408 -12.10228497 0,-76.80179016 -12.10232097 0,-76.80228984 -12.102444 0,-76.79911608 -12.10772403 0,-76.79199888 -12.11200218 0,-76.80237876 -12.1168323 0,-76.80604104 -12.11551596 0,-76.808637 -12.11657499 0,-76.80863088 -12.116115 0,-76.80858984 -12.115863 0,-76.80849984 -12.11563197 0,-76.80949992 -12.11508603 0,-76.81016916 -12.116232 0,-76.81182012 -12.11536098 0,-76.81138488 -12.11456799 0,-76.81235616 -12.11400801 0,-76.81209012 -12.11351796 0,-76.81187988 -12.11156001 0,-76.81549212 -12.10379796 0,-76.80394872 -12.09402396 0,-76.799565 -12.10138704 0)",HIGUERETA,CIENEGUILLA,009104,150109,3
"(-77.00091192 -12.183687 0,-77.00026788 -12.18337497 0,-76.99950288 -12.18269304 0,-76.99885884 -12.18129003 0,-76.99625496 -12.17826198 0,-76.99215888 -12.17326302 0,-76.991598 -12.17238498 0,-76.99127184 -12.17281302 0,-76.99108716 -12.17271096 0,-76.99053708 -12.17310804 0,-76.98940884 -12.17293596 0,-76.98888108 -12.17310597 0,-76.98825504 -12.17349801 0,-76.98798504 -12.17366199 0,-76.98765096 -12.17405403 0,-76.98762288 -12.17403297 0,-76.984191 -12.172482 0,-76.98527496 -12.17439999 0,-76.98809088 -12.18232998 0,-76.98818196 -12.18279501 0,-76.99097412 -12.18221298 0,-76.992498 -12.18099096 0,-76.99298796 -12.18168504 0,-76.99470984 -12.18352203 0,-76.99529988 -12.18444102 0,-76.99594212 -12.18500802 0,-76.99678884 -12.18422403 0,-76.99788216 -12.18526299 0,-76.99797288 -12.18526803 0,-76.99860396 -12.18586599 0,-76.99894992 -12.18522897 0,-76.99916592 -12.18492 0,-76.99945608 -12.18468501 0,-77.00000796 -12.18452301 0,-77.00143104 -12.18441699 0,-77.00192388 -12.184389 0,-77.00268312 -12.18458799 0,-77.00281704 -12.18405204 0,-77.00091192 -12.183687 0)",HIGUERETA,CHORRILLOS,008110,150108,57
"(-77.03915004 -12.18117204 0,-77.03892 -12.181167 0,-77.03835912 -12.18084903 0,-77.03803584 -12.18068199 0,-77.03739288 -12.18051801 0,-77.036778 -12.18031299 0,-77.03626896 -12.18009798 0,-77.03566704 -12.17969802 0,-77.03508708 -12.17926404 0,-77.03459388 -12.17880396 0,-77.03419896 -12.17846799 0,-77.03396892 -12.17813697 0,-77.03377884 -12.17764503 0,-77.03044704 -12.179214 0,-77.03152812 -12.17361303 0,-77.028543 -12.17203101 0,-77.02732116 -12.17120004 0,-77.02699716 -12.17143701 0,-77.02549704 -12.17296098 0,-77.02550496 -12.17360799 0,-77.02444116 -12.17470599 0,-77.02426512 -12.17478798 0,-77.02347708 -12.175083 0,-77.02331796 -12.17519703 0,-77.02301592 -12.17568897 0,-77.02277292 -12.17594304 0,-77.022387 -12.176172 0,-77.02204392 -12.17633598 0,-77.02177608 -12.17650797 0,-77.02143984 -12.176811 0,-77.02119396 -12.17712699 0,-77.02119108 -12.17724201 0,-77.02004808 -12.17864097 0,-77.01985692 -12.17921796 0,-77.02019712 -12.17944404 0,-77.02006716 -12.17980197 0,-77.02067592 -12.18013101 0,-77.01995196 -12.18167604 0,-77.01982884 -12.18193704 0,-77.01941916 -12.18278799 0,-77.01976692 -12.18294999 0,-77.01966288 -12.18320001 0,-77.02058484 -12.18340998 0,-77.02160184 -12.18366 0,-77.021649 -12.18357999 0,-77.02284816 -12.18398202 0,-77.02391196 -12.18510396 0,-77.03879112 -12.18630204 0,-77.03887896 -12.18605004 0,-77.038929 -12.18562398 0,-77.038857 -12.18557502 0,-77.038884 -12.18491901 0,-77.03902296 -12.18448998 0,-77.03916192 -12.18413304 0,-77.03925804 -12.18374298 0,-77.03925912 -12.18315096 0,-77.03952588 -12.18204297 0,-77.03915004 -12.18117204 0)",HIGUERETA,CHORRILLOS,008116,150108,56
"(-76.98948912 -12.10120002 0,-76.98894912 -12.09974301 0,-76.98901284 -12.09614499 0,-76.98721392 -12.09660102 0,-76.98585492 -12.09645999 0,-76.98492612 -12.09659796 0,-76.98398688 -12.09698001 0,-76.98323808 -12.09701097 0,-76.9823424 -12.09671001 0,-76.98101256 -12.09657024 0,-76.98044088 -12.10077801 0,-76.97952576 -12.10066614 0,-76.97913696 -12.10343004 0,-76.97882304 -12.10597398 0,-76.97850192 -12.10834404 0,-76.97821896 -12.11026599 0,-76.97949696 -12.11035401 0,-76.98195 -12.11050503 0,-76.984479 -12.11069403 0,-76.98470004 -12.10792698 0,-76.98653784 -12.10801797 0,-76.98673116 -12.10793004 0,-76.98851316 -12.10799403 0,-76.98893688 -12.10363596 0,-76.99015116 -12.10283703 0,-76.98948912 -12.10120002 0)",HIGUERETA,SAN BORJA,030104,150130,11
"(-76.99336488 -12.08165697 0,-76.99331016 -12.08164203 0,-76.99322412 -12.08161998 0,-76.99314996 -12.08158497 0,-76.99295088 -12.081438 0,-76.99294188 -12.08143098 0,-76.99289004 -12.08151099 0,-76.99284396 -12.08159496 0,-76.99281012 -12.08172996 0,-76.99240512 -12.081726 0,-76.99232304 -12.081726 0,-76.99148208 -12.08173302 0,-76.99140108 -12.08175003 0,-76.99072896 -12.08175003 0,-76.99068684 -12.08175003 0,-76.99040604 -12.08175201 0,-76.98974904 -12.08175696 0,-76.98960504 -12.08173599 0,-76.98929004 -12.08152098 0,-76.98910608 -12.08137896 0,-76.98720708 -12.07992699 0,-76.98636108 -12.08099097 0,-76.98600684 -12.08143701 0,-76.98630312 -12.08163096 0,-76.98662784 -12.08187801 0,-76.98663216 -12.08197602 0,-76.98898296 -12.08371599 0,-76.98970908 -12.08399202 0,-76.99307292 -12.084498 0,-76.99344696 -12.08167803 0,-76.99336488 -12.08165697 0)",HIGUERETA,SAN BORJA,030121,150130,9
"(-77.01802596 -12.126312 0,-77.01285492 -12.12710499 0,-77.01156216 -12.12730299 0,-77.009517 -12.12762699 0,-77.00958 -12.12830199 0,-77.00943204 -12.12992604 0,-77.01062112 -12.13004799 0,-77.01119604 -12.13011198 0,-77.01173784 -12.13002801 0,-77.01183684 -12.13053201 0,-77.01241104 -12.13041402 0,-77.01249708 -12.13075098 0,-77.01253884 -12.13086897 0,-77.01258312 -12.13093296 0,-77.01281316 -12.13117101 0,-77.01286716 -12.131181 0,-77.012892 -12.13120296 0,-77.01316416 -12.130911 0,-77.01310404 -12.13055397 0,-77.01302484 -12.13022997 0,-77.01309612 -12.12988104 0,-77.01351084 -12.13002 0,-77.01355296 -12.12975999 0,-77.01370308 -12.12939999 0,-77.01418908 -12.12956802 0,-77.01525 -12.12960303 0,-77.01554484 -12.12958404 0,-77.01570612 -12.13002099 0,-77.01574896 -12.13010199 0,-77.01588504 -12.13022502 0,-77.01592104 -12.13021701 0,-77.01616116 -12.130011 0,-77.01641712 -12.13058097 0,-77.01675084 -12.13030602 0,-77.017131 -12.12994296 0,-77.017239 -12.13005699 0,-77.01729912 -12.13018803 0,-77.01731784 -12.13043004 0,-77.01796404 -12.130443 0,-77.01805584 -12.12762204 0,-77.01802596 -12.126312 0)",HIGUERETA,MIRAFLORES,022115,150122,7
"(-77.05513296 -12.11103099 0,-77.05485792 -12.11058396 0,-77.05451592 -12.11009202 0,-77.05431396 -12.11 0,-77.05416708 -12.109932 0,-77.05397196 -12.10991103 0,-77.053491 -12.10985802 0,-77.05319292 -12.10978899 0,-77.052987 -12.10960602 0,-77.05287288 -12.10934799 0,-77.05283796 -12.10909599 0,-77.052861 -12.10880997 0,-77.05188792 -12.10976802 0,-77.05135296 -12.11029596 0,-77.04929196 -12.10834404 0,-77.04856692 -12.10901103 0,-77.04728496 -12.11031 0,-77.047164 -12.11043798 0,-77.04698112 -12.11063004 0,-77.04670608 -12.110913 0,-77.04629604 -12.11058 0,-77.04621792 -12.110517 0,-77.04443304 -12.11047596 0,-77.04397692 -12.11052402 0,-77.04363492 -12.11060601 0,-77.04312084 -12.11089203 0,-77.04500112 -12.11266098 0,-77.047056 -12.11463504 0,-77.04813312 -12.11563998 0,-77.04837288 -12.11538699 0,-77.04991512 -12.11682096 0,-77.05010412 -12.11648004 0,-77.050872 -12.11729004 0,-77.05127988 -12.11752197 0,-77.05131804 -12.11746104 0,-77.05130292 -12.11740803 0,-77.05117188 -12.11734404 0,-77.05113408 -12.11731497 0,-77.05100304 -12.11721597 0,-77.05095408 -12.11716998 0,-77.05079208 -12.11693004 0,-77.05046808 -12.11662197 0,-77.05030608 -12.11640003 0,-77.05025604 -12.116295 0,-77.050233 -12.11622498 0,-77.05023804 -12.11614299 0,-77.05026108 -12.11601897 0,-77.05030788 -12.11585499 0,-77.05035396 -12.115719 0,-77.05042992 -12.11553099 0,-77.05050696 -12.11538996 0,-77.05057104 -12.11524902 0,-77.05064088 -12.11506596 0,-77.05095408 -12.11465898 0,-77.05153404 -12.11402898 0,-77.05158192 -12.11393997 0,-77.05167012 -12.11383998 0,-77.05172988 -12.11378697 0,-77.05180692 -12.11369202 0,-77.05193004 -12.11359203 0,-77.05206108 -12.11348502 0,-77.05245204 -12.11322402 0,-77.05266588 -12.11301099 0,-77.05274904 -12.11295204 0,-77.05284912 -12.11291604 0,-77.052897 -12.11288103 0,-77.05296108 -12.11274504 0,-77.05297908 -12.11268699 0,-77.05302696 -12.11265702 0,-77.05312704 -12.11265 0,-77.05328904 -12.11260203 0,-77.05333512 -12.11253102 0,-77.05342404 -12.11244903 0,-77.05356012 -12.112389 0,-77.05372104 -12.11228199 0,-77.05391112 -12.11222799 0,-77.053959 -12.11220396 0,-77.053977 -12.11215698 0,-77.05405404 -12.112092 0,-77.054274 -12.11198499 0,-77.05442196 -12.11185503 0,-77.05466496 -12.11176503 0,-77.05473588 -12.11166999 0,-77.05477908 -12.11162796 0,-77.05499796 -12.11155704 0,-77.05511604 -12.11142699 0,-77.05521612 -12.11137902 0,-77.055237 -12.11137002 0,-77.05513296 -12.11103099 0)",HIGUERETA,MIRAFLORES,022123,150122,22
"(-76.98713688 -12.13715799 0,-76.98645612 -12.13278597 0,-76.98617316 -12.13202997 0,-76.98311208 -12.13314102 0,-76.98365784 -12.13452396 0,-76.98461184 -12.140199 0,-76.98755304 -12.13972596 0,-76.98713688 -12.13715799 0)",HIGUERETA,SANTIAGO DE SURCO,040110,150140,13
"(-77.04837288 -12.11538699 0,-77.04813312 -12.11563998 0,-77.047056 -12.11463504 0,-77.04500112 -12.11266098 0,-77.04155196 -12.11623101 0,-77.04264384 -12.11870601 0,-77.04252612 -12.11885001 0,-77.04240804 -12.11898303 0,-77.04252792 -12.11917401 0,-77.04262188 -12.119274 0,-77.04273384 -12.11930703 0,-77.04289584 -12.11929902 0,-77.04427788 -12.12243696 0,-77.04436608 -12.12239997 0,-77.04466992 -12.12220197 0,-77.04480708 -12.12208101 0,-77.04505404 -12.12190902 0,-77.04510696 -12.12187302 0,-77.04539892 -12.12163497 0,-77.04554508 -12.12158997 0,-77.04576504 -12.12153102 0,-77.04592308 -12.12155298 0,-77.04607392 -12.12163299 0,-77.04615708 -12.121713 0,-77.04627804 -12.12186096 0,-77.04640908 -12.12196797 0,-77.04648108 -12.12199002 0,-77.04651492 -12.122001 0,-77.04655596 -12.12198003 0,-77.04653904 -12.12189804 0,-77.04645804 -12.12181902 0,-77.04624492 -12.12156504 0,-77.04611388 -12.12147099 0,-77.04605808 -12.121407 0,-77.04599904 -12.12129297 0,-77.04589788 -12.12105798 0,-77.04586404 -12.12096699 0,-77.04560808 -12.12061896 0,-77.04550008 -12.12040098 0,-77.04551988 -12.12031998 0,-77.04561096 -12.12008697 0,-77.04572508 -12.11988699 0,-77.04583092 -12.11974803 0,-77.04601704 -12.11961897 0,-77.04611604 -12.11950701 0,-77.04624888 -12.11940099 0,-77.04628704 -12.11935104 0,-77.04634104 -12.11932998 0,-77.04641304 -12.11927904 0,-77.04646092 -12.11925204 0,-77.046714 -12.11911902 0,-77.04674388 -12.11908203 0,-77.04674388 -12.119031 0,-77.04676404 -12.11898096 0,-77.04681192 -12.11894001 0,-77.04687996 -12.11890896 0,-77.04695412 -12.11883804 0,-77.04703296 -12.11879304 0,-77.04710496 -12.11870502 0,-77.047173 -12.11867604 0,-77.04718992 -12.11866398 0,-77.04728892 -12.11863698 0,-77.04736308 -12.11855499 0,-77.04743112 -12.11855499 0,-77.04748692 -12.11855103 0,-77.04752796 -12.11853699 0,-77.04754488 -12.1185 0,-77.04754308 -12.11842602 0,-77.04755388 -12.11839902 0,-77.04759204 -12.11836797 0,-77.04777204 -12.11828598 0,-77.04795996 -12.11818698 0,-77.04819504 -12.11810103 0,-77.04840096 -12.118032 0,-77.04846504 -12.11799096 0,-77.04854604 -12.11795298 0,-77.04893592 -12.11771403 0,-77.04906804 -12.11764698 0,-77.049756 -12.117087 0,-77.04991512 -12.11682096 0,-77.04837288 -12.11538699 0)",HIGUERETA,MIRAFLORES,022124,150122,31
"(-77.01077988 -12.14665596 0,-77.01064092 -12.14640801 0,-77.01047784 -12.14632098 0,-77.01019092 -12.14589699 0,-77.00962212 -12.14445798 0,-77.00940216 -12.14394399 0,-77.00929812 -12.14347104 0,-77.00922684 -12.14315802 0,-77.009148 -12.14288496 0,-77.00900904 -12.14238501 0,-77.00877612 -12.14073198 0,-77.00852988 -12.14025597 0,-77.00801904 -12.13941501 0,-77.00767092 -12.13904502 0,-77.00707908 -12.13873803 0,-77.006223 -12.14049699 0,-77.00600592 -12.14141823 0,-77.00571684 -12.14271099 0,-77.00563584 -12.14288496 0,-77.005512 -12.14297496 0,-77.00473188 -12.14340399 0,-77.00509692 -12.14401104 0,-77.00628708 -12.14604603 0,-77.00661 -12.14612298 0,-77.00662404 -12.14619102 0,-77.00759388 -12.146373 0,-77.010813 -12.146985 0,-77.01077988 -12.14665596 0)",HIGUERETA,SANTIAGO DE SURCO,040162,150140,27
