edad,trabajo,estado_civil,educacion,incumplimiento,balance,prestamo_vivienda,prestamo_personal,contacto,ultimo_dia_contacto,ultimo_mes_contacto,ultimo_contacto_duracion,campana,pdias,previo,presultado,y
30,desempleado,casado,primaria,no,1787,no,no,celular,19,oct,79,1,-1,0,desconocido,no
33,servicios,casado,secundaria,no,4789,si,si,celular,11,may,220,1,339,4,fracaso,no
35,administracion,soltero,superior,no,1350,si,no,celular,16,abr,185,1,330,1,fracaso,no
30,administracion,casado,superior,no,1476,si,si,desconocido,3,jun,199,4,-1,0,desconocido,no
59,collar azul,casado,secundaria,no,0,si,no,desconocido,5,may,226,1,-1,0,desconocido,no
35,administracion,soltero,superior,no,747,no,no,celular,23,feb,141,2,176,3,fracaso,no
36,independiente,casado,superior,no,307,si,no,celular,14,may,341,1,330,2,otro,no
39,tecnico,casado,secundaria,no,147,si,no,celular,6,may,151,2,-1,0,desconocido,no
41,emprendedor,casado,superior,no,221,si,no,desconocido,14,may,57,2,-1,0,desconocido,no
43,servicios,casado,primaria,no,-88,si,si,celular,17,abr,313,1,147,2,fracaso,no
39,servicios,casado,secundaria,no,9374,si,no,desconocido,20,may,273,1,-1,0,desconocido,no
43,admin.,casado,secundaria,no,264,si,no,celular,17,abr,113,2,-1,0,desconocido,no
36,tecnico,casado,superior,no,1109,no,no,celular,13,ago,328,2,-1,0,desconocido,no
20,estudiante,soltero,secundaria,no,502,no,no,celular,30,abr,261,1,-1,0,desconocido,si
31,collar azul,casado,secundaria,no,360,si,si,celular,29,ene,89,1,241,1,fracaso,no
40,administracion,casado,superior,no,194,no,si,celular,29,ago,189,2,-1,0,desconocido,no
56,tecnico,casado,secundaria,no,4073,no,no,celular,27,ago,239,5,-1,0,desconocido,no
37,admin.,soltero,superior,no,2317,si,no,celular,20,abr,114,1,152,2,fracaso,no
25,collar azul,soltero,primaria,no,-221,si,no,desconocido,23,may,250,1,-1,0,desconocido,no
31,servicios,casado,secundaria,no,132,no,no,celular,7,jul,148,1,152,1,otro,no
