WKT;codpostal;codtienda1;codtienda;tienda;retail;direccion1;direccion2;distrito;provincia;departamen;pais;cartodb_id;latitud;longitud;link_googl;telefono_p;otros_tele;horario_do;horario_lu;horario_ma;horario_mi;horario_ju;horario_vi;horario_sa
POINT (-79.0247902 -8.1103056);13001;76;E076;TRUJILLO;TIENDAS EFE;BOLIVAR 700;ESQ. CON JUNIN;TRUJILLO;TRUJILLO;LA LIBERTAD;PE;73;-8.1103056;-79.0247902;https://goo.gl/maps/5TmfPKr8rB22;(044) 231909;;;;;;;;
POINT (-78.5924754 -9.0743757);2803;21;L021;CHIMBOTE;LA CURACAO;JR. LEONCIO PRADO 536;EN EL HOTEL PRESIDENTE;CHIMBOTE;SANTA;ANCASH;PE;102;-9.0743757;-78.5924754;http://goo.gl/MtE632;(044) 343510;;;;;;;;
POINT (-74.2268971 -13.1580431);5003;7;E007;AYACUCHO;TIENDAS EFE;JR. ASAMBELA 277-281;;AYACUCHO;HUAMANGA;AYACUCHO;PE;7;-13.1580431;-74.2268971;https://goo.gl/maps/8pgv8D3cko42;(066) 312865;;09:30-22:00;09:30-22:00;09:30-22:00;09:30-22:00;09:30-22:00;09:30-22:00;09:30-22:00
POINT (-76.1318633 -13.4182605);11701;23;L023;CHINCHA II;LA CURACAO;JR. SANTO DOMINGO 128;CHINCHA ALTA;CHINCHA ALTA;CHINCHA;ICA;PE;104;-13.4182605;-76.1318633;http://goo.gl/OEvThv;(056) 264683;;10:00-21:30;10:00-21:30;10:00-21:30;10:00-21:30;10:00-21:30;10:00-21:30;10:00-21:30
POINT (-72.8759324 -13.636274);3001;88;E088;ABANCAY;TIENDAS EFE;AV. ARENAS 188;AL COSTADO DEL HOTEL ARENAS, A 2 CUADRAS DE LA PLAZA MICAELA BASTIDAS;ABANCAY;ABANCAY;APURIMAC;PE;1;-13.636274;-72.8759324;https://goo.gl/maps/jTnxHpWfS662;(083) 321643;;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00
POINT (-71.534063 -16.3992331);4001;2;E002;AREQUIPA;TIENDAS EFE;CALLE PEATONAL MERCADERES 134;A MEDIA CUADRA DE LA PLAZA PRINCIPAL;AREQUIPA;AREQUIPA;AREQUIPA;PE;2;-16.3992331;-71.534063;https://goo.gl/maps/fu4Jd3JWQrJ2;(054) 227394;;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00
POINT (-71.5350983 -16.4254604);4009;3;E003;AREQUIPA II;TIENDAS EFE;AV. ANDRES AVELINO CACERES;ENTRE EL OVALO Y EL BYPASS;JOSE LUIS BUSTAMANTE Y RIVERO;AREQUIPA;AREQUIPA;PE;3;-16.4254604;-71.5350983;https://goo.gl/maps/daze9MoX9aT2;(054) 420841;;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00
POINT (-71.5165356 -16.4030424);4002;4;E004;AREQUIPA 3;TIENDAS EFE;AVENIDA MARISCAL CASTILLA 626;FRENTE AL OVALO DE MARISCAL CASTILLA;AREQUIPA;AREQUIPA;AREQUIPA;PE;4;-16.4030424;-71.5165356;https://goo.gl/maps/USzatgVtbCo;(054) 285878;;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00
POINT (-71.5636842 -16.3522105);4017;5;E005;AREQUIPA 4;TIENDAS EFE;CALLE MARAÑON 509;COSTADO COMISARIA ZAMACOLA;CERRO COLORADO;AREQUIPA;AREQUIPA;PE;5;-16.3522105;-71.5636842;https://goo.gl/maps/Eg6imoMNfEv;(054) 316731;;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00
POINT (-76.9287728 -12.0346754);15012;87;E087;ATE II;TIENDAS EFE;AV. NICOLAS AYLLON;MZ. L LT. 25. SECTOR F URB. LOS ANGELES;ATE;LIMA;LIMA;PE;6;-12.0346754;-76.9287728;https://goo.gl/maps/N4XRpJ7zdMC2;(01) 7151390;;10:00-21:00;10:00-21:00;10:00-21:00;10:00-21:00;10:00-21:00;10:00-21:00;10:00-21:00
POINT (-78.5206113 -6.679938);6116;8;E008;BAMBAMARCA;TIENDAS EFE;JR. ALFONSO UGARTE 458;;BAMBAMARCA;HUALGAYOC;CAJAMARCA;PE;8;-6.679938;-78.5206113;https://goo.gl/maps/DRSjtEUrbuD2;(076) 353002;;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00
POINT (-77.7620984 -10.74971);15169;9;E009;BARRANCA;TIENDAS EFE;JR. CASTILLA 285 BARRANCA;CERCA AL CRUCE CON VILELA/CALLE PROGRESO;BARRANCA;BARRANCA;LIMA;PE;9;-10.74971;-77.7620984;https://goo.gl/maps/2afCSUKAPFC2;(01) 2351107;;;;;;;;
POINT (-76.98732 -11.9513966);15416;11;E011;CACERES;TIENDAS EFE;ESQUINA AV. FERNANDO WIESE CON JR. POZO SECO;MZ. E8 LT. 1. URB. MARISCAL CACERES;SAN JUAN DE LURIGANCHO;LIMA;LIMA;PE;10;-11.9513966;-76.98732;https://goo.gl/maps/p8dfknR96LG2;(01) 2407653;;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00
